,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000,"45,000 kms",Petrol
1,Mahindra Jeep CL550,Mahindra,2006,425000,40 kms,Diesel
2,Hyundai Grand i10,Hyundai,2014,325000,"28,000 kms",Petrol
3,Ford EcoSport Titanium,Ford,2014,575000,"36,000 kms",Diesel
4,Ford Figo,Ford,2012,175000,"41,000 kms",Diesel
5,Hyundai Eon,Hyundai,2013,190000,"25,000 kms",Petrol
6,Ford EcoSport Ambiente,Ford,2016,830000,"24,530 kms",Diesel
7,Maruti Suzuki Alto,Maruti,2015,250000,"60,000 kms",Petrol
8,Skoda Fabia Classic,Skoda,2010,182000,"60,000 kms",Petrol
9,Maruti Suzuki Stingray,Maruti,2015,315000,"30,000 kms",Petrol
10,Hyundai Elite i20,Hyundai,2014,415000,"32,000 kms",Petrol
11,Mahindra Scorpio SLE,Mahindra,2015,320000,"48,660 kms",Diesel
12,Hyundai Santro Xing,Hyundai,2007,80000,"45,000 kms",Petrol
13,Mahindra Jeep CL550,Mahindra,2006,425000,40 kms,Diesel
14,Audi A8,Audi,2017,1000000,"4,000 kms",Petrol
15,Audi Q7,Audi,2014,500000,"16,934 kms",Diesel
16,Mahindra Scorpio S10,Mahindra,2016,350000,"43,000 kms",Diesel
17,Maruti Suzuki Alto,Maruti,2014,160000,"35,550 kms",Petrol
18,Mahindra Scorpio S10,Mahindra,2016,350000,"43,000 kms",Diesel
19,Mahindra Scorpio S10,Mahindra,2016,310000,"39,522 kms",Diesel
20,Maruti Suzuki Alto,Maruti,2015,75000,"39,000 kms",Petrol
21,Hyundai i20 Sportz,Hyundai,2012,100000,"55,000 kms",Petrol
22,Hyundai i20 Sportz,Hyundai,2012,100000,"55,000 kms",Petrol
23,Hyundai i20 Sportz,Hyundai,2012,100000,"55,000 kms",Petrol
24,Maruti Suzuki Alto,Maruti,2017,190000,"72,000 kms",Petrol
25,Maruti Suzuki Vitara,Maruti,2016,290000,"15,975 kms",Diesel
26,Maruti Suzuki Alto,Maruti,2008,95000,"70,000 kms",Petrol
27,Mahindra Bolero DI,Mahindra,2017,180000,"23,452 kms",Diesel
28,Maruti Suzuki Swift,Maruti,2014,385000,"35,522 kms",Diesel
